,tweet,label,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
0,lisaamartatara fadlizon yg dibangga banggain sama buzzer cendana yah cuman orangn alm soeharton anies baswedannyg lain lewathehe,1,"['lisaamartatara', 'fadlizon', 'yg', 'dibangga', 'banggain', 'sama', 'buzzer', 'cendana', 'yah', 'cuman', 'orangn', 'alm', 'soeharton', 'anies', 'baswedannyg', 'lain', 'lewathehe']","['lisaamartatara', 'fadlizon', 'dibangga', 'banggain', 'buzzer', 'cendana', 'yah', 'cuman', 'orangn', 'alm', 'soeharton', 'anies', 'baswedannyg', 'lewathehe']","['lisaamartatara', 'fadlizon', 'bangga', 'banggain', 'buzzer', 'cendana', 'yah', 'cuman', 'orangn', 'alm', 'soeharton', 'anies', 'baswedannyg', 'lewathehe']"
1,rt rustamibrahim polling dari gubernur di jawa ridwan kamil anies baswedan ganjar pranowo dan khofifah indar parawansa menurut penu,1,"['rt', 'rustamibrahim', 'polling', 'dari', 'gubernur', 'di', 'jawa', 'ridwan', 'kamil', 'anies', 'baswedan', 'ganjar', 'pranowo', 'dan', 'khofifah', 'indar', 'parawansa', 'menurut', 'penu']","['rustamibrahim', 'polling', 'gubernur', 'jawa', 'ridwan', 'kamil', 'anies', 'baswedan', 'ganjar', 'pranowo', 'khofifah', 'indar', 'parawansa', 'penu']","['rustamibrahim', 'polling', 'gubernur', 'jawa', 'ridwan', 'kamil', 'anies', 'baswedan', 'ganjar', 'pranowo', 'khofifah', 'indar', 'parawansa', 'penu']"
2,ojok ampe anies baswedan menikmati hsil proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['ojok', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'ampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'ampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
3,rt ghanieierfan pertemuan sangat mengharukan aniesbaswedan dgn ny tsuneo yamada orang tua angkat goodbener saat kuliah di sophia univeu,0,"['rt', 'ghanieierfan', 'pertemuan', 'sangat', 'mengharukan', 'aniesbaswedan', 'dgn', 'ny', 'tsuneo', 'yamada', 'orang', 'tua', 'angkat', 'goodbener', 'saat', 'kuliah', 'di', 'sophia', 'univeu']","['ghanieierfan', 'pertemuan', 'mengharukan', 'aniesbaswedan', 'tsuneo', 'yamada', 'orang', 'tua', 'angkat', 'goodbener', 'kuliah', 'sophia', 'univeu']","['ghanieierfan', 'temu', 'haru', 'aniesbaswedan', 'tsuneo', 'yamada', 'orang', 'tua', 'angkat', 'goodbener', 'kuliah', 'sophia', 'univeu']"
4,rt sebastianteza jangn nympek anies baswedan menikmati hsl proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'sebastianteza', 'jangn', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['sebastianteza', 'jangn', 'nympek', 'anies', 'baswedan', 'menikmati', 'hsl', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['sebastianteza', 'jangn', 'nympek', 'anies', 'baswedan', 'nikmat', 'hsl', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
5,rt tamastefan janganlah mencapai anies baswedan menikmati produk cetak biru di monumen nasional nan tumpat kejanggalannya usutskandalmou,1,"['rt', 'tamastefan', 'janganlah', 'mencapai', 'anies', 'baswedan', 'menikmati', 'produk', 'cetak', 'biru', 'di', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmou']","['tamastefan', 'mencapai', 'anies', 'baswedan', 'menikmati', 'produk', 'cetak', 'biru', 'monumen', 'nasional', 'nan', 'tumpat', 'kejanggalannya', 'usutskandalmou']","['tamastefan', 'capai', 'anies', 'baswedan', 'nikmat', 'produk', 'cetak', 'biru', 'monumen', 'nasional', 'nan', 'tumpat', 'janggal', 'usutskandalmou']"
6,rt ariestariico niat mau cari prestasi ternyata malah cara ilegal anies baswedan kuasai monas melalui revitalisasinusutskandalmonasgateu,1,"['rt', 'ariestariico', 'niat', 'mau', 'cari', 'prestasi', 'ternyata', 'malah', 'cara', 'ilegal', 'anies', 'baswedan', 'kuasai', 'monas', 'melalui', 'revitalisasinusutskandalmonasgateu']","['ariestariico', 'niat', 'cari', 'prestasi', 'ilegal', 'anies', 'baswedan', 'kuasai', 'monas', 'revitalisasinusutskandalmonasgateu']","['ariestariico', 'niat', 'cari', 'prestasi', 'ilegal', 'anies', 'baswedan', 'kuasa', 'monas', 'revitalisasinusutskandalmonasgateu']"
7,janganlah berbatas anies baswedan menikmati rakitan cetak biru di monumen nasional nan memadai kejanggalannya usutskandalmonasgate,1,"['janganlah', 'berbatas', 'anies', 'baswedan', 'menikmati', 'rakitan', 'cetak', 'biru', 'di', 'monumen', 'nasional', 'nan', 'memadai', 'kejanggalannya', 'usutskandalmonasgate']","['berbatas', 'anies', 'baswedan', 'menikmati', 'rakitan', 'cetak', 'biru', 'monumen', 'nasional', 'nan', 'memadai', 'kejanggalannya', 'usutskandalmonasgate']","['batas', 'anies', 'baswedan', 'nikmat', 'rakit', 'cetak', 'biru', 'monumen', 'nasional', 'nan', 'pada', 'janggal', 'usutskandalmonasgate']"
8,rt santorotahir jagan nyampe anies baswedan menikmati hsil proyek d monas yg penuh kejanggalannya usutskandalmonasgate,1,"['rt', 'santorotahir', 'jagan', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yg', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['santorotahir', 'jagan', 'nyampe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['santorotahir', 'jagan', 'nyampe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'penuh', 'janggal', 'usutskandalmonasgate']"
9,ojok mpe anies baswedan menikmati hsil proyek d monas yng penuh kejanggalannya usutskandalmonasgate,1,"['ojok', 'mpe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'd', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'mpe', 'anies', 'baswedan', 'menikmati', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'kejanggalannya', 'usutskandalmonasgate']","['ojok', 'mpe', 'anies', 'baswedan', 'nikmat', 'hsil', 'proyek', 'monas', 'yng', 'penuh', 'janggal', 'usutskandalmonasgate']"
